"species","stateProvince","decimalLatitude","decimalLongitude"
"Dendrobium moorei","New South Wales",-31.57,159.08
"Palaquium galactoxylum","Queensland",-17.33,146
"Exocarpos strictus","New South Wales",-36.37,148.2
"Leptospermum polygalifolium","New South Wales",-33.42,151.22
"Acacia ammobia","Northern Territory",-25.35,131.38
"Festuca muelleri","New South Wales",-35.8,150.23
"Paspalum distichum","New South Wales",-34.1,141.92
"Corymbia cadophora","Western Australia",-18,125.25
"Pimelea biflora","Australian Capital Territory",-35.7,148.8
"Acacia gonocarpa","Northern Territory",-11.18,136.73
"Melaleuca trichostachya","Queensland",-23.8,149.1
"Trachymene composita","New South Wales",-32.17,152.5
"Leptospermum subglabratum","New South Wales",-35.25,150.18
"Hakea laevipes","New South Wales",-34.87,150.58
"Erechtites bathurstiana","New South Wales",-28.35,152.7
"Atriplex sturtii","South Australia",-27.2,140.18
"Adiantum aethiopicum","New South Wales",-35.5,148.45
"Pomaderris discolor","Australian Capital Territory",-35.27,149.1
"Daviesia umbellulata","New South Wales",-29.98,153.2
"Prostanthera monticola","New South Wales",-34.58,148.87
"Acacia leucolobia","New South Wales",-33.08,149.18
"Tecticornia arbuscula","New South Wales",-35.3,150.4667
"Patersonia occidentalis","Victoria",-37.4244,142.4525
"Acacia alleniana","Northern Territory",-12.85,134.53
"Prostanthera stenophylla","New South Wales",-32.8,149.98
"Ptilotus obovatus","New South Wales",-31.5,141.47
"Cassinia adunca","New South Wales",-34.07,147.13
"Acacia drepanocarpa","Western Australia",-19.23,121.6
"Fimbristylis nutans","Northern Territory",-12.07,133.88
"Juncus thompsonianus","New South Wales",-36.53,148.27
"Grevillea pyramidalis","Western Australia",-17.95,122.2
"Ptilotus obovatus","New South Wales",-31.0356,141.7425
"Asperula pusilla","New South Wales",-36.27,148.38
"Ehretia grahamii","Queensland",-20.08,146.92
"Hibbertia obtusifolia","New South Wales",-33.33,148.98
"Polystichum formosum","New South Wales",-28.35,152.7
"Melichrus urceolatus","New South Wales",-33.08,149.18
"Galium densum","Victoria",-37.63,141.3
"Coronidium rutidolepis","New South Wales",-33.83,150.38
"Amyema pendula","New South Wales",-33.53689,150.4386
"Atriplex holocarpa","New South Wales",-29.97,146.87
"Rubus rosifolius","New South Wales",-35.72,149.93
"Eragrostis lacunaria","New South Wales",-34.88,143.43
"Chenopodium trigonon","Queensland",-26.92,149
"Eucalyptus gillenii","Northern Territory",-23.45,134.38
"Xerochrysum viscosum","New South Wales",-33.05,145.43
"Sphaeromorphaea littoralis","New South Wales",-30.15,142.07
"Atriplex semibaccata","Queensland",-23.35,148.17
"Atriplex muelleri","Queensland",-23.35,148.17
"Centipeda minima","New South Wales",-29.13,149.47
"Eucalyptus umbra","New South Wales",-33.7,151.28
"Thysanotus juncifolius","New South Wales",-33.5,150.37
"Lastreopsis marginans","New South Wales",-28.47,152.53
"Fimbristylis trachycarya","Northern Territory",-12.6,136.53
"Eucalyptus tetragona","Western Australia",-30.62,115.12
"Calochilus paludosus","New South Wales",-29.42,152.92
"Epilobium tasmanicum","New South Wales",-36.43,148.28
"Calotis cuneifolia","New South Wales",-29.0464,149.335
"Eucalyptus consideniana","New South Wales",-34.87,150.58
"Leptospermum novae-angliae","New South Wales",-30.47,152.27
"Alsophila australis","New South Wales",-28.57,153.28
"Poa sieberiana","Australian Capital Territory",-35.27,149.1
"Zieria covenyi","New South Wales",-33.75,150.27
"Stemodia florulenta","New South Wales",-33.9,141.87
"Hydriastele wendlandiana","Queensland",-17.33,145.92
"Sclerolaena diacantha","Northern Territory",-23.02,134.02
"Bescherellia elegantissima","New South Wales",-28.4,153.27
"Carex appressa","Tasmania",-42.9,147.23
"Tetratheca ericifolia","New South Wales",-33.17,151.62
"Leptochloa decipiens","Queensland",-23.67,148.08
"Plantago gaudichaudii","New South Wales",-33.72,150.87
"Eucalyptus trivalva","Northern Territory",-24.57,130.18
"Grevillea parviflora","New South Wales",-35.7356,150.1694
"Grevillea mimosoides","Queensland",-17.13,145.25
"Lomandra leucocephala","New South Wales",-29.08,146.63
"Swainsona bracteata","New South Wales",-29.92,149.77
"Kunzea capitata","New South Wales",-34.02,150.88
"Rytidosperma alpicola","New South Wales",-36.45,148.27
"Poa costiniana","New South Wales",-36.45,148.28
"Grevillea dryandri","Northern Territory",-14.87,135.73
"Lysiana subfalcata","New South Wales",-29.13,146.75
"Utricularia uniflora","New South Wales",-29.13,153.42
"Acacia leiocalyx","New South Wales",-30.07,153.18
"Aristida echinata","Queensland",-26.58,148.78
"Gonocarpus montanus","New South Wales",-36.395,148.355
"Viola fuscoviolacea","New South Wales",-36.35,148.42
"Pseudocrossidium crinitum","New South Wales",-32.13,151.38
"Acrothamnus hookeri","New South Wales",-36.3,148.5
"Viola betonicifolia","New South Wales",-36.35,148.47
"Sporobolus mitchellii","South Australia",-27.2,140.18
"Lateristachys lateralis","New South Wales",-29.12,153.45
"Nypa fruticans","Queensland",-18.57,146.27
"Acacia verticillata","Victoria",-37.65,145.37
"Boronia subulifolia","New South Wales",-35.72,150.17
"Acacia juncifolia","New South Wales",-32.8,150.9
"Microtis unifolia","New South Wales",-28.57,153.27
"Cajanus reticulatus","Northern Territory",-12.75,135.63
"Dodonaea falcata","New South Wales",-33.68,150.75
"Streptoglossa bubakii","Northern Territory",-22.8,136.8
"Pogonatum neesii","New South Wales",-28.4,153.27
"Codium fragile","New South Wales",-31.45,152.92
"Genoplesium sagittiferum","New South Wales",-33.73,150.47
"Teucrium racemosum","New South Wales",-29.13,149.47
"Pogonatum subulatum","New South Wales",-28.48,152.78
"Selaginella longipinna","Queensland",-15.5611,145.2522
"Acacia rubida","New South Wales",-35.62,148.42
"Corymbia trachyphloia","Queensland",-17.42,145.25
"Aristida jerichoensis","New South Wales",-33.88,146.05
"Atriplex angulata","New South Wales",-32.55,143.05
"Scaevola humilis","New South Wales",-33.88,146.43
"Acacia mucronata","Victoria",-37.53,145.33
"Poa pratensis","Victoria",-37.8367,144.9906
"Malacocera tricornis","New South Wales",-34.35,144.27
"Abrodictyum caudatum","New South Wales",-28.57,153.28
"Aristida echinata","Queensland",-26.58,148.78
"Crowea exalata","New South Wales",-34.93,150.4
"Avicennia marina","Victoria",-38.3069,145.4253
"Carex blakei","Victoria",-37.8378,146.2908
"Poa sieberiana","New South Wales",-35.43,149.47
"Ficinia nodosa","New South Wales",-31.58,159.08
"Goodenia anfracta","Northern Territory",-22.77,131.02
"Acacia grasbyi","Western Australia",-26.42,117.2
"Goodenia hirsuta","Northern Territory",-22.47,131.48
"Vicia tetrasperma","Victoria",-37.6206,145.2172
"Eragrostis brownii","Queensland",-26.25,148.7
"Goodenia hederacea","Australian Capital Territory",-35.3,149.12
"Eucalyptus loxophleba","Western Australia",-33.03,118.67
"Zieria smithii","New South Wales",-28.53,153.53
"Olearia lyrata","Victoria",-37.5767,145.9078
"Actephila grandifolia","New South Wales",-28.65,153.33
"Chaetomorpha linum","New South Wales",-34.0817,151.1625
"Lepiderema pulchella","New South Wales",-28.266667,153.5
"Hakea actites","New South Wales",-29.58,153.32
"Sclerolaena symoniana","Northern Territory",-25.3,131.92
"Rytidosperma bipartitum","New South Wales",-29.13,149.48
"Cynanchum viminale","New South Wales",-33.05,145.43
"Pseudolycopodiella serpentina","New South Wales",-29.13,153.42
"Acacia gunnii","South Australia",-34.93,138.6
"Calamagrostis parviseta","New South Wales",-33.73,150.38
"Acacia nyssophylla","Northern Territory",-25.32,131.77
"Streptoglossa cylindriceps","Northern Territory",-25.75,135.98
"Xanthorrhoea latifolia","New South Wales",-33.17,151.48
"Xyris operculata","New South Wales",-35.15,150.28
"Acacia sibirica","New South Wales",-31.25,142.3
"Rinzia polystemonea","Northern Territory",-23.28,131.3
"Dysphania glomulifera","Northern Territory",-22.35,131.47
"Poa clivicola","Australian Capital Territory",-35.53,148.92
"Sarcopteryx stipata","New South Wales",-28.48,152.78
"Ludwigia peploides","New South Wales",-33.9,151.22
"Hakea sericea","New South Wales",-34.87,150.58
"Cycas furfuracea","Western Australia",-15.3,124.35
"Atriplex holocarpa","South Australia",-29.4,139.98
"Rumex tenax","New South Wales",-34.2,144.27
"Goodia medicaginea","South Australia",-32.5203,135.9417
"Acacia ramulosa","New South Wales",-29.17,144.25
"Sematophyllum amoenum","New South Wales",-28.6,153.47
"Crotalaria mitchellii","Queensland",-27.4083,152.3583
"Triunia youngiana","New South Wales",-28.92,153.42
"Eriochilus cucullatus","New South Wales",-33.7,150.37
"Corymbia citriodora","Queensland",-18.17,144.83
"Eucalyptus crebra","Queensland",-20.17,144.33
"Cyclosorus interruptus","New South Wales",-31.43,151.93
"Eucalyptus burgessiana","New South Wales",-35.15,150.15
"Sowerbaea juncea","New South Wales",-35.6831,149.5539
"Kippistia suaedifolia","New South Wales",-32.77,144.75
"Lyperanthus suaveolens","New South Wales",-29.58,153.32
"Acacia subracemosa","Western Australia",-34.19719,115.07192
"Gonocarpus scordioides","Western Australia",-33.65,122.82
"Lastreopsis decomposita","New South Wales",-28.35,152.7
"Eucalyptus patellaris","Northern Territory",-13.83,134.17
"Drosera binata","New South Wales",-33.63,150.32
"Bulbophyllum exiguum","New South Wales",-35.12,150.33
"Schoenoplectiella laevis","Northern Territory",-22.43,130.7
"Gahnia lanigera","Western Australia",-26,113.2
"Hakea arborescens","Northern Territory",-20.48,134.68
"Actinotus gibbonsii","New South Wales",-35.12,150.35
"Eucalyptus lucens","Northern Territory",-23.58,132.55
"Trianthema triquetra","South Australia",-29.25,137.88
"Pollia crispata","Queensland",-27.33,152.77
"Hibbertia obtusifolia","New South Wales",-31.78,150.15
"Boronia pinnata","New South Wales",-33.73,151.17
"Juncus subsecundus","New South Wales",-33.38,145.87
"Phebalium squamulosum","New South Wales",-36.27,148.33
"Acacia deanei","New South Wales",-29.13,146.47
"Acacia rivalis","South Australia",-31.27,139.27
"Mirbelia oxylobioides","Victoria",-36.9125,145.64
"Eucalyptus cephalocarpa","Victoria",-37.83,145.58
"Arabidella eremigena","South Australia",-27.72,140.73
"Coleocarya gracilis","New South Wales",-29.1,153.43
"Ripogonum album","New South Wales",-28.55,153.27
"Croton insularis","Queensland",-17.15,145.63
"Drimys insipida","New South Wales",-28.4,153.27
"Rytidosperma caespitosum","Victoria",-36.85,144.7
"Chloris gayana","Victoria",-35.27,141.18
"Eriochloa pseudoacrotricha","New South Wales",-32.9,144.53
"Corymbia papillosa","Northern Territory",-13.15,134.58
"Genoplesium apostasioides","New South Wales",-34.87,150.58
"Juncus laeviusculus","New South Wales",-32,151.47
"Bolboschoenus fluviatilis","New South Wales",-34.6,150.85
"Atriplex holocarpa","South Australia",-30.07,138.28
"Terminalia complanata","Queensland",-12.75,143.25
"Cyperus stradbrokensis","New South Wales",-29.1,153.43
"Acacia subtilinervis","New South Wales",-34.9,150.58
"Stenocarpus salignus","Queensland",-23.73,149.1
"Juncus radula","South Australia",-32.82,138.2
"Cressa cretica","Northern Territory",-22.72,132.43
"Cyperus cristulatus","Northern Territory",-13.48,134.52
"Exocarpos cupressiformis","Victoria",-36.9125,145.64
"Glinus lotoides","New South Wales",-29.13,149.47
"Guioa semiglauca","New South Wales",-33.58,151.32
"Korthalsella rubra","Queensland",-12.75,143.25
"Calytrix tetragona","New South Wales",-35.73,149.28
"Juncus ratkowskyanus","Tasmania",-42.9,147.23
"Hydrilla verticillata","New South Wales",-33.93,150.63
"Polyscias sambucifolia","New South Wales",-35.8,150.23
"Acacia vestita","New South Wales",-33.12,149.7
"Sophora tomentosa","New South Wales",-31.4433,152.9256
"Pultenaea rostrata","New South Wales",-29.98,153.2
"Ozothamnus hookeri","Australian Capital Territory",-35.52,148.78
"Melaleuca pallida","Tasmania",-41.82,147.8
"Capparis quiniflora","Queensland",-14.25,144.42
"Eucalyptus pulverulenta","New South Wales",-33.57,150.12
"Poa labillardierei","New South Wales",-35.9,147
"Acacia tetragonophylla","New South Wales",-29.17,145.37
"Epilobium sarmentaceum","New South Wales",-36.4583,148.2917
"Cyperus blakeanus","Northern Territory",-22.37,131.5
"Epaltes cunninghamii","South Australia",-27.2,140.18
"Acacia orites","New South Wales",-28.57,153.27
"Senecio cunninghamii","New South Wales",-34.35,144.27
"Atriplex acutibractea","New South Wales",-34.42,142.88
"Pultenaea daphnoides","New South Wales",-34.6,150.9
"Chordifex sphacelatus","Western Australia",-34.42,118
"Pultenaea rostrata","New South Wales",-29.98,153.2
"Eucalyptus apodophylla","Western Australia",-15.9,126.33
"Craspedia lamicola","New South Wales",-36.47,148.27
"Leptospermum lanigerum","Tasmania",-41.77,147.83
"Lomandra effusa","New South Wales",-34.32,143.12
"Helicia australasica","Queensland",-17.1,145.55
"Acacia costiniana","New South Wales",-35.73,149.28
"Persoonia mollis","New South Wales",-35.25,150.18
"Acacia tetragonophylla","New South Wales",-29.17,145.37
"Bulbine bulbosa","New South Wales",-28.4,153.27
"Kunzea ericoides","New South Wales",-30.38,152.57
"Cyanothamnus coerulescens","New South Wales",-33.52,143.33
"Arthropteris tenella","New South Wales",-31.85,150.62
"Syzygium angophoroides","Northern Territory",-11.1917,136.7417
"Rumex crystallinus","New South Wales",-32.43,142.25
"Poa labillardierei","Victoria",-37.25,146.8
"Aristida macroclada","Northern Territory",-12.375,136.7083
"Styphelia sonderensis","Northern Territory",-23.58,132.55
"Lagenophora stipitata","New South Wales",-36.38,148.37
"Wahlenbergia capillaris","New South Wales",-33.9,146.03
"Hicksbeachia pinnatifolia","New South Wales",-28.65,153.35
"Beyeria viscosa","New South Wales",-33.05,145.43
"Plantago debilis","New South Wales",-33.5,150.38
"Enneapogon nigricans","Victoria",-35.92,145.65
"Daviesia mimosoides","New South Wales",-35.3119,149.7169
"Rytidosperma fulvum","New South Wales",-35.77,147
"Dicrastylis verticillata","New South Wales",-33.52,143.33
"Lachnagrostis billardierei","Tasmania",-42.8,147.92
"Geranium solanderi","New South Wales",-36.1286,148.6311
"Zieria smithii","New South Wales",-34.82,150.57
"Cyperus cristulatus","Northern Territory",-12.4,136.85
"Flagellaria indica","New South Wales",-31.58,159.08
"Imperata cylindrica","Victoria",-37.84833,147.75972
"Melaleuca ericifolia","Victoria",-38.13306,145.28056
"Dioscorea bulbifera","Northern Territory",-13.081933,130.697222
"Pomax umbellata","Western Australia",-24.666667,128.75
"Syzygium eucalyptoides","Northern Territory",-13.165266,130.851216
"Euphorbia trigonosperma","Western Australia",-17.25,124.733333
"Acacia monticola","Western Australia",-17.766667,124.05
"Acacia gonocarpa","Northern Territory",-13.165266,130.851216
"Dodonaea hispidula","Northern Territory",-11.183333,136.708333
"Germainia truncatiglumis","Northern Territory",-13.237488,130.726216
"Sphaeranthus indicus","Western Australia",-17.718889,123.646667
"Marsilea drummondii","Northern Territory",-24.083333,132.666667
"Dimeria ornithopoda","Northern Territory",-13.237488,130.726216
"Strychnos lucida","Western Australia",-14.466667,125.533333
"Acacia retinodes","Victoria",-37.56517,143.85133
"Melaleuca ericifolia","Victoria",-38.01528,146.60722
"Melaleuca ericifolia","Victoria",-38.14694,147.20833
"Acacia howittii","Victoria",-38.46515,146.55131
"Myoporum insulare","Victoria",-38.16528,147.40139
"Eclipta platyglossa","Victoria",-34.58184,142.41797
"Acacia obtusifolia","Victoria",-37.39845,149.25125
"Melaleuca ericifolia","Victoria",-37.91513,147.71795
"Melaleuca ericifolia","Victoria",-38.17389,147.33472
"Eucalyptus globulus","Victoria",-38.33194,146.74444
"Acacia longifolia","Victoria",-37.84833,147.75972
"Pittosporum undulatum","Victoria",-38.33194,146.74444
"Eclipta platyglossa","New South Wales",-35.61516,144.11796
"Chenopodium spinescens","Victoria",-35.03185,141.75132
"Eucalyptus crenulata","Victoria",-37.44848,145.7013
"Eucalyptus resinifera","Queensland",-26.123403,153.076054
"Boronia squamipetala","Queensland",-13.673489,143.342786
"Sporobolus elongatus","Queensland",-27.390069,153.126061
"Elaeocarpus bancroftii","Queensland",-17.006798,145.592771
"Boronia alulata","Queensland",-14.340149,144.42611
"Syzygium sayeri","Queensland",-17.340129,146.00943
"Corymbia intermedia","Queensland",-17.340134,145.476111
"Melaleuca arcana","Queensland",-14.340149,144.342776
"Hibbertia obtusifolia","Queensland",-28.306749,151.49277
"Cyperus trinervis","Queensland",-27.573401,153.092732
"Bursaria tenuifolia","Queensland",-16.473471,145.176106
"Prumnopitys ladei","Queensland",-16.458333,145.208333
"Syzygium suborbiculare","Queensland",-15.090139,145.259436
"Coelospermum paniculatum","Queensland",-17.090131,145.592771
"Fagraea cambagei","Queensland",-16.106804,145.459439
"Flindersia pimenteliana","Queensland",-16.458333,145.208333
"Eucalyptus shirleyi","Queensland",-17.375,145.358333
"Trentepohlia peruana","Queensland",-18.956789,146.192776
"Ficus septica","Queensland",-16.02347,145.342773
"Fuirena ciliaris","Queensland",-26.056736,153.04272
"Hypserpa laurina","Queensland",-15.790138,145.29277
"Acrothamnus spathaceus","Queensland",-17.173465,145.592771
"Pteris tremula","Queensland",-27.623401,153.226065
"Acacia leptostachya","Queensland",-16.473471,145.176106
"Plectranthus parviflorus","Queensland",-17.340131,145.759437
"Terminalia aridicola","Queensland",-20.506801,144.426146
"Beilschmiedia peninsularis","Queensland",-13.540156,143.476119
"Paratrophis australiana","Queensland",-17.173465,145.592771
"Cordyline cannifolia","Queensland",-16.673469,145.342775
"Geijera salicifolia","Queensland",-20.440133,145.242799
"Amyema miquelii","Queensland",-28.290071,152.709411
"Stigmaphyllon australiense","Queensland",-20.173449,146.759444
"Tetrameles nudiflora","Queensland",-12.756827,143.25945
"Harpullia rhyticarpa","Queensland",-16.456804,145.109439
"Cyperus procerus","Queensland",-23.140089,150.759409
"Xyris complanata","Queensland",-27.590068,153.092732
"Senna barclayana","Queensland",-25.691667,150.908333
"Dianella longifolia","Queensland",-27.390069,153.126061
"Halophila ovalis","Queensland",-27.190069,153.376061
"Chorizandra cymbaria","Queensland",-27.540068,153.109399
"Cassytha filiformis","Queensland",-27.390069,153.126061
"Carex inversa","Queensland",-27.506738,152.976073
"Cryptocarya densiflora","Queensland",-13.723489,143.342786
"Tabernaemontana pandacaqui","Queensland",-27.02341,152.076077
"Ficus microcarpa","Queensland",-14.590144,144.592774
"Guioa semiglauca","Queensland",-27.540072,152.99274
"Eucalyptus exserta","Queensland",-25.923416,151.592737
"Beilschmiedia peninsularis","Queensland",-13.540156,143.476119
"Margaritaria dubium-traceyi","Queensland",-17.890154,141.209491
"Helicia australasica","Queensland",-13.673489,143.342786
"Carnarvonia araliifolia","Queensland",-16.458333,145.208333
"Corymbia clarksoniana","Queensland",-16.923469,145.259442
"Endiandra longipedicellata","Queensland",-16.02347,145.342773
"Gossia dallachyana","Queensland",-13.756822,143.342786
"Xanthostemon umbrosus","Queensland",-14.840144,144.926107
"Cupaniopsis fleckeri","Queensland",-14.590144,144.592774
"Cyperus iria","Queensland",-27.540068,153.009399
"Podocarpus smithii","Queensland",-16.458333,145.208333
"Melicope vitiflora","Queensland",-13.673489,143.342786
"Litsea fawcettiana","Queensland",-12.723494,143.242783
"Senna sophera","Queensland",-26.240098,148.509456
"Schoenus brevifolius","Queensland",-25.073414,152.259392
"Gossia inophloia","Queensland",-27.323406,152.759402
"Utricularia dichotoma","Queensland",-27.590068,153.092732
"Elaeocarpus carolinae","Queensland",-16.440137,145.259439
"Corymbia hylandii","Queensland",-16.308333,144.708333
"Beilschmiedia oligandra","Queensland",-16.106804,145.459439
"Chionanthus axillaris","Queensland",-15.790139,145.29277
"Salacia chinensis","Queensland",-16.090137,145.476106
"Pimelea linifolia","Queensland",-27.590068,153.092732
"Wollastonia uniflora","Queensland",-27.390069,153.126061
"Sarcopteryx martyana","Queensland",-16.458333,145.208333
"Chorizema parviflorum","Queensland",-22.923422,150.709405
"Acacia salicina","Queensland",-27.606822,141.109569
"Boronia bowmanii","Queensland",-16.756806,144.092786
"Acacia chisholmii","Queensland",-20.623492,139.526194
"Steganthera cooperorum","Queensland",-15.790139,145.29277
"Calamus moti","Queensland",-15.790139,145.29277
"Setaria distans","Queensland",-27.390069,153.126061
"Leptosema oxylobioides","Queensland",-18.940132,144.509459
"Dillwynia retorta","Queensland",-26.840074,152.976064
"Alstonia mollis","Queensland",-20.173449,146.759444
"Uraria picta","Queensland",-17.090131,145.509437
"Apodytes brachystylis","Queensland",-17.756797,145.559441
"Aristida ingrata","Queensland",-17.973487,141.492825
"Zieria minutiflora","Queensland",-17.140131,145.559437
"Sphaeropteris cooperi","Queensland",-16.440137,145.259439
"Santalum lanceolatum","Queensland",-14.256815,144.42611
"Eucalyptus crebra","Queensland",-25.40675,151.176073
"Lastreopsis poecilophlebia","Queensland",-17.290131,145.626104
"Templetonia hookeri","Queensland",-19.806826,139.542855
"Uvaria uhrii","Queensland",-16.02347,145.342773
"Rourea brachyandra","Queensland",-16.02347,145.342773
"Ternstroemia cherryi","Queensland",-16.106804,145.459439
"Terminalia oblongata","Queensland",-17.906817,141.509486
"Eucalyptus tardecidens","Queensland",-16.556802,145.159442
"Palaquium galactoxylum","Queensland",-12.756827,143.126116
"Lysiana subfalcata","Queensland",-20.090116,146.926111
"Corymbia clarksoniana","Queensland",-16.673469,145.259442
"Medicosma cunninghamii","Queensland",-28.206734,153.192737
"Tapeinosperma pallidum","Queensland",-15.823472,145.29277
"Pitaviaster haplophyllus","Queensland",-16.456804,145.109439
"Eucalyptus granitica","Queensland",-17.606799,145.476113
"Claoxylon tenerifolium","Queensland",-20.090116,146.926111
"Lastreopsis poecilophlebia","Queensland",-18.423458,146.259438
"Corymbia abergiana","Queensland",-17.340134,145.426111
"Schoenus apogon","Queensland",-25.023414,152.226058
"Alphitonia excelsa","Queensland",-20.090116,146.926111
"Banksia conferta","Queensland",-26.9275,152.947778
"Tribulopis solandri","Queensland",-14.359722,144.61
"Eucalyptus moluccana","Queensland",-27.390081,151.742752
"Corymbia nesophila","Queensland",-14.840144,144.926107
"Acacia pubirhachis","Queensland",-15.090139,145.259436
"Wahlenbergia caryophylloides","Queensland",-15.156813,143.826118
"Alyxia ilicifolia","Queensland",-15.790138,145.29277
"Erythroxylum australe","Queensland",-20.173449,146.759444
"Euploca tenuifolia","Queensland",-20.306821,140.092852
"Saurauia andreana","Queensland",-17.173465,145.592771
"Lithomyrtus obtusa","Queensland",-12.756827,143.176116
"Memecylon hylandii","Queensland",-16.02347,145.342773
"Alstonia muelleriana","Queensland",-16.256804,145.342773
"Acacia julifera","Queensland",-20.090121,146.276119
"Macarthuria neocambrica","Queensland",-15.594444,145.286389
"Schefflera elliptica","Queensland",-17.506794,146.009433
"Idiospermum australiense","Queensland",-16.135415,145.441662
"Trachymene valida","Queensland",-17.140131,145.559437
"Claoxylon tenerifolium","Queensland",-17.756797,145.559441
"Pittosporum rubiginosum","Queensland",-15.823472,145.29277
"Pavetta australiensis","Queensland",-16.02347,145.342773
"Lobelia gibbosa","Queensland",-27.540068,153.176065
"Drosera peltata","Queensland",-27.590068,153.092732
"Selaginella longipinna","Queensland",-17.340129,146.00943
"Banksia conferta","Queensland",-26.8975,152.8825
"Psychotria dallachiana","Queensland",-15.790138,145.29277
"Adiantum hispidulum","Queensland",-17.006798,145.709437
"Sacciolepis indica","Queensland",-26.073403,153.059387
"Carnarvonia araliifolia","Queensland",-15.790138,145.29277
"Pultenaea villosa","Queensland",-27.590068,153.092732
"Planchonella chartacea","Queensland",-16.02347,145.342773
"Alternanthera denticulata","Queensland",-27.390069,153.126061
"Lysicarpus angustifolius","Queensland",-18.990123,146.076109
"Digitaria parviflora","Queensland",-26.073403,153.059387
"Prosaptia contigua","Queensland",-16.440137,145.259439
"Alpinia arctiflora","Queensland",-16.458333,145.208333
"Chionanthus sleumeri","Queensland",-16.106804,145.459439
"Eucalyptus moluccana","Queensland",-18.006797,145.176117
"Euphorbia wheeleri","Queensland",-25.606827,139.759569
"Terminalia platyptera","Queensland",-17.340136,144.592784
"Lindsayomyrtus racemoides","Queensland",-16.106804,145.459439
"Quintinia fawkneri","Queensland",-16.440137,145.259439
"Boronia keysii","Queensland",-26.240075,152.959393
"Pendressia wardellii","Queensland",-17.090131,145.609437
"Senna artemisioides","Queensland",-27.25675,151.226093
"Grevillea pteridifolia","Queensland",-12.706826,143.509441
"Senecio brigalowensis","Queensland",-26.606762,149.042786
"Berchemia ecorollata","Queensland",-17.673463,145.976107
"Elaphoglossum queenslandicum","Queensland",-16.440137,145.259439
"Garcinia brassii","Queensland",-16.458333,145.208333
"Stenocarpus angustifolius","Queensland",-19.006789,146.092778
"Cathormion umbellatum","Queensland",-12.590161,143.426116
"Eucalyptus tereticornis","Queensland",-28.140074,152.35942
"Persoonia volcanica","Queensland",-28.290071,152.709411
"Spiraeanthemum davidsonii","Queensland",-17.256798,145.842771
"Persoonia subtilis","Queensland",-23.873423,149.242762
"Goniothalamus australis","Queensland",-17.423465,145.759437
"Selaginella ciliaris","Queensland",-12.756827,143.25945
"Damasonium minus","Queensland",-27.323425,149.892784
"Symplocos wooroonooran","Queensland",-17.256798,145.842771
"Syzygium angophoroides","Queensland",-12.756827,143.226116
"Ormosia ormondii","Queensland",-16.106804,145.459439
"Solanum prolatum","Queensland",-21.190128,144.959475
"Drypetes iodoformis","Queensland",-15.790138,145.29277
"Eucalyptus melliodora","Queensland",-28.140074,152.342753
"Anthobolus filifolius","Queensland",-12.590161,143.342783
"Timonius singularis","Queensland",-16.440137,145.259439
"Setaria distans","Queensland",-27.506738,152.99274
"Aeschynomene indica","Queensland",-26.090079,152.342734
"Ozothamnus diosmifolius","Queensland",-27.073406,152.742736
"Pycnarrhena novoguineensis","Queensland",-18.423458,146.259438
"Lophostemon grandiflorus","Queensland",-12.6735,141.926125
"Brombya platynema","Queensland",-16.440137,145.259439
"Sloanea langii","Queensland",-19.006789,146.259444
"Amyema cambagei","Queensland",-27.390069,153.126061
"Acacia decora","Queensland",-24.873417,151.209403
"Hovea acutifolia","Queensland",-27.573401,153.092732
"Chloris truncata","Queensland",-27.390069,153.126061
"Corymbia erythrophloia","Queensland",-18.006797,145.176117
"Schenkia australis","Queensland",-27.390069,153.126061
"Ischaemum muticum","Queensland",-10.123509,142.15945
"Coelospermum purpureum","Queensland",-15.823472,145.34277
"Gastrolobium grandiflorum","Queensland",-23.523449,145.50948
"Storckiella australiensis","Queensland",-16.17347,145.426106
"Dianella pavopennacea","Queensland",-12.756827,143.176116
"Gossia myrsinocarpa","Queensland",-16.42347,145.259439
"Samadera baileyana","Queensland",-16.1375,145.441389
"Toechima erythrocarpum","Queensland",-17.756797,145.559441
"Dallachya vitiensis","Queensland",-18.423458,146.259438
"Timonius timon","Queensland",-21.0401,149.076083
"Parapolystichum smithianum","Queensland",-27.973401,153.209399
"Hakea benthamii","Queensland",-19.023455,146.092778
"Ripogonum album","Queensland",-19.006789,146.176111
"Mackinlaya confusa","Queensland",-15.823472,145.29277
"Tacca leontopetaloides","Queensland",-17.006798,145.509437
"Asteromyrtus brassii","Queensland",-12.706827,143.342783
"Amyema congener","Queensland",-17.006798,145.592771
"Rhynchosia australis","Queensland",-25.691667,150.858333
"Acacia argyrodendron","Queensland",-21.506776,146.709451
"Eucalyptus moluccana","Queensland",-26.256746,152.492734
"Tetratheca thymifolia","Queensland",-26.473403,153.109387
"Helicia nortoniana","Queensland",-18.273458,146.242772
"Eucalyptus camaldulensis","Queensland",-17.94015,141.94282
"Croton phebalioides","Queensland",-20.173449,146.759444
"Agathis atropurpurea","Queensland",-17.090131,145.592771
"Exocarpos strictus","Queensland",-28.890077,151.909434
"Harpullia hillii","Queensland",-27.423406,152.842736
"Flindersia oppositifolia","Queensland",-17.256798,145.859437
"Sphalmium racemosum","Queensland",-16.458333,145.208333
"Terminalia complanata","Queensland",-12.840161,143.342783
"Terminalia aridicola","Queensland",-16.506802,145.176108
