"species","stateProvince","decimalLatitude","decimalLongitude"
"Margaritaria dubium-traceyi","Queensland",-18.040149,141.642822
"Cyperus polystachyos","Queensland",-27.390069,153.126061
"Caulerpa fastigiata","Queensland",-27.256736,153.126061
"Melaleuca nervosa","Queensland",-17.99015,141.89282
"Petalostigma pubescens","Queensland",-18.073479,142.076151
"Darlingia ferruginea","Queensland",-17.506799,145.476113
"Parinari nonda","Queensland",-15.090139,145.259436
"Ackama australiensis","Queensland",-17.756797,145.559441
"Monotoca scoparia","Queensland",-25.141667,152.541667
"Atractocarpus sessilis","Queensland",-16.473471,145.176106
"Eustrephus latifolius","Queensland",-27.590068,153.092732
"Schizaea dichotoma","Queensland",-16.940133,145.892768
"Polycarpaea breviflora","Queensland",-20.306821,140.092852
"Kali tragus","Queensland",-27.390069,153.126061
"Eucalyptus quadrangulata","Queensland",-28.345278,152.347222
"Dichrostachys spicata","Queensland",-17.973484,141.509486
"Scleria mackaviensis","Queensland",-27.506738,152.976073
"Aglaia sapindina","Queensland",-16.02347,145.342773
"Desmos goezeanus","Queensland",-17.573463,145.759441
"Terminalia aridicola","Queensland",-16.506804,144.842781
"Eragrostis cumingii","Queensland",-17.906817,141.509486
"Cordyline cannifolia","Queensland",-17.458333,145.475
"Eupomatia laurina","Queensland",-27.323406,152.776069
"Mallotus philippensis","Queensland",-16.02347,145.342773
"Hakea arborescens","Queensland",-17.94015,141.79282
"Hakea arborescens","Queensland",-17.890154,141.226158
"Eucalyptus brownii","Queensland",-18.19013,145.142784
"Ryparosa kurrangii","Queensland",-16.135415,145.441662
"Rhodomyrtus sericea","Queensland",-15.823472,145.29277
"Eucalyptus melanophloia","Queensland",-20.190121,146.009453
"Elaeocarpus sericopetalus","Queensland",-17.106798,145.592771
"Ixora timorensis","Queensland",-12.756827,143.25945
"Pittosporum revolutum","Queensland",-27.40674,152.792736
"Setaria gausa","Queensland",-26.123403,153.076054
"Alstonia mollis","Queensland",-20.173449,146.759444
"Acacia crassa","Queensland",-24.423418,150.676075
"Goniophlebium subauriculatum","Queensland",-16.440137,145.259439
"Gardenia actinocarpa","Queensland",-16.138056,145.440833
"Hibbertia banksii","Queensland",-15.090139,145.259436
"Melaleuca pallida","Queensland",-28.291667,152.691667
"Ardisia pachyrrhachis","Queensland",-15.823472,145.29277
"Cephalomanes atrovirens","Queensland",-17.340129,146.00943
"Pullea stutzeri","Queensland",-17.173465,145.592771
"Olea paniculata","Queensland",-14.590144,144.592774
"Allocasuarina torulosa","Queensland",-26.056736,153.09272
"Corymbia polycarpa","Queensland",-17.873484,141.509486
"Gynochthodes podistra","Queensland",-16.458333,145.208333
"Alstonia mollis","Queensland",-27.390069,153.126061
"Syzygium banksii","Queensland",-15.040139,145.259436
"Trentepohlia arborum","Queensland",-17.356798,145.942771
"Argyrodendron polyandrum","Queensland",-14.590144,144.592774
"Goodenia bellidifolia","Queensland",-27.540068,153.176065
"Cinnamomum laubatii","Queensland",-16.458333,145.208333
"Derris trifoliata","Queensland",-9.901389,142.775
"Dodonaea triquetra","Queensland",-26.056736,153.09272
"Asteromyrtus symphyocarpa","Queensland",-14.256815,144.42611
"Grevillea glauca","Queensland",-20.425,145.558333
"Eragrostis sororia","Queensland",-26.073403,153.059387
"Garcinia warrenii","Queensland",-16.02347,145.342773
"Tabernaemontana pandacaqui","Queensland",-18.273458,146.242772
"Pittosporum trilobum","Queensland",-17.340131,145.759437
"Hakea pedunculata","Queensland",-12.756827,143.176116
"Perrotettia arborescens","Queensland",-17.106798,145.592771
"Cyperus difformis","Queensland",-27.323425,149.892784
"Alstonia spectabilis","Queensland",-12.840161,143.342783
"Corymbia clarksoniana","Queensland",-15.090139,145.259436
"Glinus lotoides","Queensland",-27.323425,149.892784
"Eucalyptus melanophloia","Queensland",-18.073483,141.642822
"Hakea arborescens","Queensland",-17.94015,141.79282
"Acacia racospermoides","Queensland",-15.590138,145.259437
"Wilkiea longipes","Queensland",-16.139722,145.439444
"Senna glutinosa","Queensland",-19.990166,138.526199
"Archidendron grandiflorum","Queensland",-13.673489,143.342786
"Clematicissus opaca","Queensland",-20.173449,146.759444
"Brachychiton compactus","Queensland",-20.175,148.541667
"Acacia calyculata","Queensland",-17.206798,145.809437
"Beilschmiedia tooram","Queensland",-16.02347,145.342773
"Vincetoxicum polyanthum","Queensland",-18.273458,146.242772
"Lachnagrostis filiformis","Queensland",-27.390069,153.126061
"Galbulimima belgraveana","Queensland",-17.756797,145.559441
"Comesperma ericinum","Queensland",-28.290071,152.709411
"Daphnandra repandula","Queensland",-17.498889,145.473056
"Cryptocarya leucophylla","Queensland",-16.456804,145.109439
"Blepharocarya involucrigera","Queensland",-13.673489,143.342786
"Cassia brewsteri","Queensland",-20.173449,146.759444
"Cyperus leiocaulon","Queensland",-27.506738,152.99274
"Eucalyptus tereticornis","Queensland",-27.923409,152.126082
"Ficus albipila","Queensland",-12.756827,143.25945
"Memecylon hylandii","Queensland",-16.840133,145.676101
"Chionanthus ramiflorus","Queensland",-16.02347,145.342773
"Grammitis stenophylla","Queensland",-28.290071,152.709411
"Archirhodomyrtus beckleri","Queensland",-17.473467,145.476111
"Remusatia vivipara","Queensland",-14.590144,144.592774
"Hydrocotyle miranda","Queensland",-17.173465,145.592771
"Eleocharis cylindrostachys","Queensland",-24.965,152.173611
"Melaleuca nervosa","Queensland",-16.623469,145.342775
"Hylandia dockrillii","Queensland",-17.340131,145.759437
"Melaleuca stenostachya","Queensland",-14.723477,144.75944
"Styphelia biflora","Queensland",-28.840077,151.976101
"Coelospermum purpureum","Queensland",-15.823472,145.309437
"Pycnospora lutescens","Queensland",-17.090131,145.509437
"Arytera divaricata","Queensland",-16.006804,145.259439
"Tecomanthe burungu","Queensland",-15.823472,145.29277
"Balanops australiana","Queensland",-17.340129,146.00943
"Trentepohlia peruana","Queensland",-17.356798,145.942771
"Xerochrysum bracteatum","Queensland",-20.090116,146.926111
"Parinari nonda","Queensland",-12.756827,143.25945
"Pilidiostigma papuanum","Queensland",-16.106804,145.459439
"Eucalyptus leptophleba","Queensland",-10.773505,142.492788
"Leptospermum polygalifolium","Queensland",-15.090139,145.259436
"Lastreopsis tripinnata","Queensland",-16.440137,145.259439
"Flindersia bourjotiana","Queensland",-17.390131,145.626104
"Austrosteenisia blackii","Queensland",-16.02347,145.342773
"Doodia australis","Queensland",-12.673494,143.25945
